"OMSTenantId","OrganizationName","Country","StorageTB","LicensesEnabled","LicensesAcquired","ODBSites","SignalCount","IsODBFarm","IsSPOHeavy","IsNonEDU","IsOverProvisioned","HasNoEduFlag","IsIndustryMismatch"
"fddb01ad-4983-436e-ab35-1af043b818c9","UNIVERSITY OF NEBRASKA-LINCOLN","United States","1022.638496370645","0","0","90708","3","True","False","False","False","True","True"
"6a63e133-20b0-4a3c-a8bc-f03f7dd7eb7f","??????????????????????????????","China","846.6396573826423","5","5","5","3","False","True","False","False","True","True"
"b7bd664a-ba5f-4cc3-ae55-f0fb8ce7de05","????????????","Germany","439.9768456367183","8","3500000","10736","3","True","False","False","True","False","True"
"9ee6d8aa-7c40-46e0-9b1f-f93bbced5172","CORPORATIVO MARVA","Mexico","392.9405807866051","5","10000000","5","3","False","True","False","True","False","True"
"07513973-599a-408c-90f3-a7c815db749b","CONSULTING TECHNOLOGY ANTANA","Spain","221.91226884360003","5","5","5","2","False","False","False","False","True","True"
"200624f1-c33b-4e8c-b53f-8c7d55e7522f","VOCATIONAL TRAINING COUNCIL","Hong Kong SAR","219.5532865974492","27","1500000","12254","2","True","False","False","False","False","True"
"08f3813c-9f29-482f-9aec-16ef7cbf477a","VESTFOLD OG TELEMARK FYLKESKOMMUNE","Norway","205.11374382017766","39","3000060","24684","3","True","False","True","False","False","True"
"a7997b83-e69e-4e36-b24f-78c4e2909fe6","HONG KONG TAK MING COLLEGE","Hong Kong SAR","198.2049402519733","6","4001000","10","3","False","True","False","True","False","True"
"4ebc9261-871a-44c5-93a5-60eb590917cd","CONG TY CO PHAN FPT","Vietnam","164.87049262449818","34","1500000","6561","3","True","False","True","False","False","True"
"5623383e-66ac-41ac-a91e-f85fb70a67fb","????????????","Taiwan","161.73756248600876","18","110499","12","2","False","True","False","False","False","True"
"971cc94b-0528-481b-b34b-af622c85c85a","??????????????????????????????","Taiwan","155.57339349322228","2","10000","2","1","False","True","False","False","False","False"
"d2ee49eb-e94b-49d7-a34a-2fb97a949bfc","POLYMTLUS","United States","113.93374094971568","0","1021400","15499","2","True","False","False","True","False","False"
"119dc3dd-e0d1-4dc6-b23e-9b5ff18b7423","HOA HIEP PRIMARY SCHOOL","Vietnam","113.4215194851995","18","3000000","17","1","False","False","False","False","False","True"
"e7bbbeeb-c5e2-4052-a070-f3d4455b9e00","PANGRUJUN","China","113.35465437698531","1","2500000","1003","4","True","False","True","True","False","True"
"c9311176-356b-4253-b9bd-d76bf6b23dd2","CONTOSO","United States","108.00398593338832","47","0","34","3","False","True","True","False","False","True"
"a40d2c08-89b5-4349-af5a-44bb9a6bec8b","TRUNG T??M H???P T??C DU H???C & PH??T TRI???N GI??O D???C","Vietnam","103.3626522084096","10","800000","7","3","False","True","True","False","False","True"
"61bfae99-0638-40ac-9c3a-465c4059f96e","TECHNOLOGICAL UNIVERSITY OF THE SHANNON: MIDWEST","Ireland","98.51781809705608","0","0","14407","3","True","False","False","False","True","True"
